Entity,Code,Year,Hydro (% equivalent primary energy)
Algeria,DZA,1991,0.277607
Algeria,DZA,1992,0.18375748
Algeria,DZA,1993,0.35028014
Algeria,DZA,1994,0.16257899
Algeria,DZA,1995,0.18224756
Algeria,DZA,1996,0.1288034
Algeria,DZA,1997,0.074455895
Algeria,DZA,1998,0.20617963
Algeria,DZA,1999,0.1927434
Algeria,DZA,2000,0.053235486
Algeria,DZA,2001,0.065218486
Algeria,DZA,2002,0.05167676
Algeria,DZA,2003,0.228104
Algeria,DZA,2004,0.2067869
Algeria,DZA,2005,0.43411884
Algeria,DZA,2006,0.16327195
Algeria,DZA,2007,0.15990457
Algeria,DZA,2008,0.1877543
Algeria,DZA,2009,0.21278548
Algeria,DZA,2010,0.10938061
Algeria,DZA,2011,0.22449896
Algeria,DZA,2012,0.21009883
Algeria,DZA,2013,0.050247304
Algeria,DZA,2014,0.08928346
Algeria,DZA,2015,0.06323395
Algeria,DZA,2016,0.031239543
Algeria,DZA,2017,0.02389123
Algeria,DZA,2018,0.04622772
Algeria,DZA,2019,0.057704102
Algeria,DZA,2020,0.020074604
Algeria,DZA,2021,0.0034612673
Algeria,DZA,2022,0.029228311
Argentina,ARG,1965,1.1026944
Argentina,ARG,1966,1.0818663
Argentina,ARG,1967,1.0765308
Argentina,ARG,1968,1.2272897
Argentina,ARG,1969,1.0651326
Argentina,ARG,1970,1.3025699
Argentina,ARG,1971,1.2200255
Argentina,ARG,1972,1.1709931
Argentina,ARG,1973,2.2356398
Argentina,ARG,1974,3.5823324
Argentina,ARG,1975,3.815696
Argentina,ARG,1976,3.5080485
Argentina,ARG,1977,3.8627214
Argentina,ARG,1978,5.181015
Argentina,ARG,1979,6.6389933
Argentina,ARG,1980,9.485084
Argentina,ARG,1981,9.481711
Argentina,ARG,1982,11.1508045
Argentina,ARG,1983,11.211902
Argentina,ARG,1984,12.061015
Argentina,ARG,1985,12.680371
Argentina,ARG,1986,12.220099
Argentina,ARG,1987,12.183254
Argentina,ARG,1988,8.344362
Argentina,ARG,1989,7.478313
Argentina,ARG,1990,10.20964
Argentina,ARG,1991,9.000762
Argentina,ARG,1992,10.132311
Argentina,ARG,1993,12.162937
Argentina,ARG,1994,13.254198
Argentina,ARG,1995,12.474777
Argentina,ARG,1996,10.111954
Argentina,ARG,1997,12.421557
Argentina,ARG,1998,11.372011
Argentina,ARG,1999,9.089665
Argentina,ARG,2000,12.092079
Argentina,ARG,2001,15.745199
Argentina,ARG,2002,15.95672
Argentina,ARG,2003,13.9736395
Argentina,ARG,2004,11.785714
Argentina,ARG,2005,12.393932
Argentina,ARG,2006,13.023855
Argentina,ARG,2007,10.198026
Argentina,ARG,2008,9.994887
Argentina,ARG,2009,11.340457
Argentina,ARG,2010,10.474692
Argentina,ARG,2011,9.463735
Argentina,ARG,2012,8.473704
Argentina,ARG,2013,9.1008625
Argentina,ARG,2014,8.962526
Argentina,ARG,2015,8.735121
Argentina,ARG,2016,8.025734
Argentina,ARG,2017,8.481119
Argentina,ARG,2018,8.675871
Argentina,ARG,2019,7.8180246
Argentina,ARG,2020,7.1466336
Argentina,ARG,2021,5.3240123
Argentina,ARG,2022,6.2222605
Asia,,1965,7.891082
Asia,,1966,7.583474
Asia,,1967,6.7648554
Asia,,1968,6.967211
Asia,,1969,6.3633933
Asia,,1970,5.7494335
Asia,,1971,5.728971
Asia,,1972,5.575405
Asia,,1973,4.7841735
Asia,,1974,5.325627
Asia,,1975,5.5349035
Asia,,1976,5.3819156
Asia,,1977,4.955749
Asia,,1978,4.876427
Asia,,1979,4.9912844
Asia,,1980,5.3363366
Asia,,1981,5.6064115
Asia,,1982,5.4306593
Asia,,1983,5.386808
Asia,,1984,5.0020227
Asia,,1985,5.066181
Asia,,1986,4.8996196
Asia,,1987,4.802818
Asia,,1988,5.1587
Asia,,1989,5.037128
Asia,,1990,5.1099334
Asia,,1991,4.9712563
Asia,,1992,4.7939157
Asia,,1993,5.112516
Asia,,1994,4.824955
Asia,,1995,4.98866
Asia,,1996,4.7471957
Asia,,1997,4.594721
Asia,,1998,4.8629136
Asia,,1999,4.588144
Asia,,2000,4.5476837
Asia,,2001,4.7150784
Asia,,2002,4.622914
Asia,,2003,4.426757
Asia,,2004,4.726938
Asia,,2005,4.5254865
Asia,,2006,4.6800966
Asia,,2007,4.601787
Asia,,2008,5.023887
Asia,,2009,4.749221
Asia,,2010,5.103238
Asia,,2011,4.883746
Asia,,2012,5.307413
Asia,,2013,5.553283
Asia,,2014,5.8640776
Asia,,2015,5.9576855
Asia,,2016,6.038193
Asia,,2017,5.957622
Asia,,2018,5.8451204
Asia,,2019,6.0502825
Asia,,2020,6.2189107
Asia,,2021,5.7713785
Asia,,2022,5.762788
Asia Pacific (EI),,1965,8.815359
Asia Pacific (EI),,1966,8.445241
Asia Pacific (EI),,1967,7.596487
Asia Pacific (EI),,1968,7.7583685
Asia Pacific (EI),,1969,7.0702477
Asia Pacific (EI),,1970,6.452001
Asia Pacific (EI),,1971,6.500092
Asia Pacific (EI),,1972,6.3094893
Asia Pacific (EI),,1973,5.528943
Asia Pacific (EI),,1974,6.075548
Asia Pacific (EI),,1975,6.2478614
Asia Pacific (EI),,1976,5.9794245
Asia Pacific (EI),,1977,5.5018573
Asia Pacific (EI),,1978,5.3766966
Asia Pacific (EI),,1979,5.572206
Asia Pacific (EI),,1980,5.896176
Asia Pacific (EI),,1981,6.2016125
Asia Pacific (EI),,1982,5.9909344
Asia Pacific (EI),,1983,6.07883
Asia Pacific (EI),,1984,5.6777215
Asia Pacific (EI),,1985,5.788181
Asia Pacific (EI),,1986,5.699636
Asia Pacific (EI),,1987,5.375057
Asia Pacific (EI),,1988,5.544492
Asia Pacific (EI),,1989,5.640223
Asia Pacific (EI),,1990,5.578994
Asia Pacific (EI),,1991,5.485183
Asia Pacific (EI),,1992,5.1309953
Asia Pacific (EI),,1993,5.3416634
Asia Pacific (EI),,1994,5.102243
Asia Pacific (EI),,1995,5.288085
Asia Pacific (EI),,1996,4.9449415
Asia Pacific (EI),,1997,4.8219957
Asia Pacific (EI),,1998,5.143746
Asia Pacific (EI),,1999,4.8974676
Asia Pacific (EI),,2000,4.9178586
Asia Pacific (EI),,2001,5.173285
Asia Pacific (EI),,2002,4.9748154
Asia Pacific (EI),,2003,4.6863766
Asia Pacific (EI),,2004,4.98688
Asia Pacific (EI),,2005,4.787423
Asia Pacific (EI),,2006,4.9498463
Asia Pacific (EI),,2007,4.9234176
Asia Pacific (EI),,2008,5.569419
Asia Pacific (EI),,2009,5.2554426
Asia Pacific (EI),,2010,5.566992
Asia Pacific (EI),,2011,5.3634224
Asia Pacific (EI),,2012,5.8282557
Asia Pacific (EI),,2013,6.1217318
Asia Pacific (EI),,2014,6.598234
Asia Pacific (EI),,2015,6.6284537
Asia Pacific (EI),,2016,6.749992
Asia Pacific (EI),,2017,6.663006
Asia Pacific (EI),,2018,6.558845
Asia Pacific (EI),,2019,6.563213
Asia Pacific (EI),,2020,6.839022
Asia Pacific (EI),,2021,6.4515343
Asia Pacific (EI),,2022,6.462793
Australia,AUS,1965,5.340691
Australia,AUS,1966,4.86867
Australia,AUS,1967,4.753871
Australia,AUS,1968,4.6860347
Australia,AUS,1969,4.915288
Australia,AUS,1970,5.2753077
Australia,AUS,1971,5.6825237
Australia,AUS,1972,5.4565244
Australia,AUS,1973,5.42747
Australia,AUS,1974,5.762744
Australia,AUS,1975,6.0813727
Australia,AUS,1976,5.587167
Australia,AUS,1977,5.095537
Australia,AUS,1978,5.349327
Australia,AUS,1979,5.007234
Australia,AUS,1980,4.7166986
Australia,AUS,1981,4.7800093
Australia,AUS,1982,4.442979
Australia,AUS,1983,4.3668876
Australia,AUS,1984,4.5533056
Australia,AUS,1985,4.697283
Australia,AUS,1986,4.6344733
Australia,AUS,1987,4.3700223
Australia,AUS,1988,4.3994775
Australia,AUS,1989,4.164472
Australia,AUS,1990,4.224702
Australia,AUS,1991,4.5144806
Australia,AUS,1992,4.5230637
Australia,AUS,1993,4.5538177
Australia,AUS,1994,4.3199315
Australia,AUS,1995,4.0042224
Australia,AUS,1996,3.9741788
Australia,AUS,1997,3.8751204
Australia,AUS,1998,3.7481647
Australia,AUS,1999,3.710974
Australia,AUS,2000,3.730389
Australia,AUS,2001,3.601031
Australia,AUS,2002,3.5013092
Australia,AUS,2003,3.4546185
Australia,AUS,2004,3.218602
Australia,AUS,2005,3.1399786
Australia,AUS,2006,2.8911996
Australia,AUS,2007,2.4497604
Australia,AUS,2008,2.1675441
Australia,AUS,2009,2.3388252
Australia,AUS,2010,2.5286407
Australia,AUS,2011,3.4641542
Australia,AUS,2012,3.040897
Australia,AUS,2013,3.3444307
Australia,AUS,2014,2.504923
Australia,AUS,2015,2.3686235
Australia,AUS,2016,2.9372425
Australia,AUS,2017,2.2426555
Australia,AUS,2018,2.8177204
Australia,AUS,2019,2.1995687
Australia,AUS,2020,2.386362
Australia,AUS,2021,2.6194305
Australia,AUS,2022,2.687364
Austria,AUT,1965,25.096405
Austria,AUT,1966,25.840193
Austria,AUT,1967,26.118929
Austria,AUT,1968,25.099167
Austria,AUT,1969,22.27537
Austria,AUT,1970,24.770256
Austria,AUT,1971,19.6523
Austria,AUT,1972,19.524149
Austria,AUT,1973,20.17739
Austria,AUT,1974,23.734526
Austria,AUT,1975,25.034246
Austria,AUT,1976,20.905321
Austria,AUT,1977,25.271303
Austria,AUT,1978,24.244625
Austria,AUT,1979,25.784454
Austria,AUT,1980,26.826015
Austria,AUT,1981,29.280653
Austria,AUT,1982,30.31977
Austria,AUT,1983,30.117786
Austria,AUT,1984,26.68983
Austria,AUT,1985,28.815756
Austria,AUT,1986,28.87882
Austria,AUT,1987,31.328129
Austria,AUT,1988,31.717916
Austria,AUT,1989,31.34343
Austria,AUT,1990,27.798573
Austria,AUT,1991,26.450718
Austria,AUT,1992,29.784689
Austria,AUT,1993,30.823692
Austria,AUT,1994,30.170261
Austria,AUT,1995,29.863268
Austria,AUT,1996,27.530771
Austria,AUT,1997,28.449774
Austria,AUT,1998,28.821587
Austria,AUT,1999,30.854315
Austria,AUT,2000,31.605165
Austria,AUT,2001,29.319004
Austria,AUT,2002,28.919693
Austria,AUT,2003,23.480003
Austria,AUT,2004,25.351429
Austria,AUT,2005,24.965694
Austria,AUT,2006,24.098305
Austria,AUT,2007,25.431547
Austria,AUT,2008,25.644213
Austria,AUT,2009,28.072512
Austria,AUT,2010,25.3431
Austria,AUT,2011,23.8465
Austria,AUT,2012,29.003752
Austria,AUT,2013,27.848297
Austria,AUT,2014,28.139103
Austria,AUT,2015,25.342236
Austria,AUT,2016,26.227722
Austria,AUT,2017,24.42708
Austria,AUT,2018,24.388065
Austria,AUT,2019,25.083723
Austria,AUT,2020,27.498987
Austria,AUT,2021,25.121042
Austria,AUT,2022,24.279097
Azerbaijan,AZE,1985,1.6519357
Azerbaijan,AZE,1986,0.9406936
Azerbaijan,AZE,1987,0.9706842
Azerbaijan,AZE,1988,0.842058
Azerbaijan,AZE,1989,0.8257339
Azerbaijan,AZE,1990,1.8816601
Azerbaijan,AZE,1991,2.0779731
Azerbaijan,AZE,1992,2.4099329
Azerbaijan,AZE,1993,3.8572147
Azerbaijan,AZE,1994,3.1670034
Azerbaijan,AZE,1995,2.8640726
Azerbaijan,AZE,1996,3.449877
Azerbaijan,AZE,1997,4.0128255
Azerbaijan,AZE,1998,4.5553145
Azerbaijan,AZE,1999,3.5244212
Azerbaijan,AZE,2000,3.4349427
Azerbaijan,AZE,2001,3.004117
Azerbaijan,AZE,2002,4.6939816
Azerbaijan,AZE,2003,5.2657747
Azerbaijan,AZE,2004,5.1585817
Azerbaijan,AZE,2005,5.165004
Azerbaijan,AZE,2006,4.3662996
Azerbaijan,AZE,2007,4.4247346
Azerbaijan,AZE,2008,4.1157107
Azerbaijan,AZE,2009,4.9265256
Azerbaijan,AZE,2010,7.4184694
Azerbaijan,AZE,2011,5.0353055
Azerbaijan,AZE,2012,3.3029988
Azerbaijan,AZE,2013,2.6242228
Azerbaijan,AZE,2014,2.238589
Azerbaijan,AZE,2015,2.563734
Azerbaijan,AZE,2016,3.0765138
Azerbaijan,AZE,2017,2.7777958
Azerbaijan,AZE,2018,2.7267013
Azerbaijan,AZE,2019,2.2972558
Azerbaijan,AZE,2020,1.5339547
Azerbaijan,AZE,2021,1.7080154
Azerbaijan,AZE,2022,2.1411028
Bangladesh,BGD,1971,3.859758
Bangladesh,BGD,1972,3.406534
Bangladesh,BGD,1973,5.024387
Bangladesh,BGD,1974,3.4634595
Bangladesh,BGD,1975,6.043976
Bangladesh,BGD,1976,5.868124
Bangladesh,BGD,1977,5.079776
Bangladesh,BGD,1978,5.5367117
Bangladesh,BGD,1979,5.825672
Bangladesh,BGD,1980,4.96088
Bangladesh,BGD,1981,5.0166492
Bangladesh,BGD,1982,3.8052511
Bangladesh,BGD,1983,4.870658
Bangladesh,BGD,1984,6.1055837
Bangladesh,BGD,1985,4.526682
Bangladesh,BGD,1986,2.5327973
Bangladesh,BGD,1987,2.6365013
Bangladesh,BGD,1988,3.0908637
Bangladesh,BGD,1989,3.907864
Bangladesh,BGD,1990,3.5392714
Bangladesh,BGD,1991,3.4776092
Bangladesh,BGD,1992,3.0288854
Bangladesh,BGD,1993,2.104329
Bangladesh,BGD,1994,2.7616804
Bangladesh,BGD,1995,1.0269947
Bangladesh,BGD,1996,1.9475645
Bangladesh,BGD,1997,1.8034276
Bangladesh,BGD,1998,2.0371237
Bangladesh,BGD,1999,1.9397291
Bangladesh,BGD,2000,1.6270729
Bangladesh,BGD,2001,1.8750032
Bangladesh,BGD,2002,1.4012063
Bangladesh,BGD,2003,1.3171519
Bangladesh,BGD,2004,1.2327929
Bangladesh,BGD,2005,1.1308868
Bangladesh,BGD,2006,1.0385537
Bangladesh,BGD,2007,1.0077149
Bangladesh,BGD,2008,1.2009366
Bangladesh,BGD,2009,0.47791368
Bangladesh,BGD,2010,0.8087857
Bangladesh,BGD,2011,0.88654226
Bangladesh,BGD,2012,0.72275114
Bangladesh,BGD,2013,0.64725643
Bangladesh,BGD,2014,0.48216227
Bangladesh,BGD,2015,0.6278601
Bangladesh,BGD,2016,0.61352813
Bangladesh,BGD,2017,0.67897165
Bangladesh,BGD,2018,0.5318645
Bangladesh,BGD,2019,0.44948316
Bangladesh,BGD,2020,0.40259814
Bangladesh,BGD,2021,0.37212086
Bangladesh,BGD,2022,0.40533337
Belarus,BLR,1985,0.0144934775
Belarus,BLR,1986,0.012695331
Belarus,BLR,1987,0.012513183
Belarus,BLR,1988,0.012336068
Belarus,BLR,1989,0.012754957
Belarus,BLR,1990,0.012691677
Belarus,BLR,1991,0.011448725
Belarus,BLR,1992,0.012468852
Belarus,BLR,1993,0.0166659
Belarus,BLR,1994,0.019936152
Belarus,BLR,1995,0.023589265
Belarus,BLR,1996,0.018399423
Belarus,BLR,1997,0.023874052
Belarus,BLR,1998,0.032551832
Belarus,BLR,1999,0.022707757
Belarus,BLR,2000,0.031301863
Belarus,BLR,2001,0.035543468
Belarus,BLR,2002,0.03299707
Belarus,BLR,2003,0.03189618
Belarus,BLR,2004,0.033357035
Belarus,BLR,2005,0.036277547
Belarus,BLR,2006,0.03296056
Belarus,BLR,2007,0.033573754
Belarus,BLR,2008,0.03669465
Belarus,BLR,2009,0.044475794
Belarus,BLR,2010,0.040784255
Belarus,BLR,2011,0.038527083
Belarus,BLR,2012,0.06068889
Belarus,BLR,2013,0.1275709
Belarus,BLR,2014,0.11114004
Belarus,BLR,2015,0.11194239
Belarus,BLR,2016,0.1393259
Belarus,BLR,2017,0.3888468
Belarus,BLR,2018,0.27899367
Belarus,BLR,2019,0.29959428
Belarus,BLR,2020,0.36631072
Belarus,BLR,2021,0.29364568
Belarus,BLR,2022,0.30124658
Belgium,BEL,1965,0.19477375
Belgium,BEL,1966,0.2222244
Belgium,BEL,1967,0.16850355
Belgium,BEL,1968,0.15502341
Belgium,BEL,1969,0.13315213
Belgium,BEL,1970,0.13480939
Belgium,BEL,1971,0.07485565
Belgium,BEL,1972,0.094584495
Belgium,BEL,1973,0.088658996
Belgium,BEL,1974,0.12884893
Belgium,BEL,1975,0.104461215
Belgium,BEL,1976,0.058647025
Belgium,BEL,1977,0.12029833
Belgium,BEL,1978,0.11473677
Belgium,BEL,1979,0.11701485
Belgium,BEL,1980,0.14521001
Belgium,BEL,1981,0.20929198
Belgium,BEL,1982,0.19124408
Belgium,BEL,1983,0.19912015
Belgium,BEL,1984,0.19903153
Belgium,BEL,1985,0.15589736
Belgium,BEL,1986,0.18055974
Belgium,BEL,1987,0.21921426
Belgium,BEL,1988,0.17986311
Belgium,BEL,1989,0.15168625
Belgium,BEL,1990,0.12658821
Belgium,BEL,1991,0.105330825
Belgium,BEL,1992,0.1571814
Belgium,BEL,1993,0.11899488
Belgium,BEL,1994,0.15410542
Belgium,BEL,1995,0.14870298
Belgium,BEL,1996,0.0989969
Belgium,BEL,1997,0.1250422
Belgium,BEL,1998,0.15641691
Belgium,BEL,1999,0.13810118
Belgium,BEL,2000,0.18298483
Belgium,BEL,2001,0.17582265
Belgium,BEL,2002,0.14326066
Belgium,BEL,2003,0.09404476
Belgium,BEL,2004,0.119468965
Belgium,BEL,2005,0.10906541
Belgium,BEL,2006,0.13471971
Belgium,BEL,2007,0.14407195
Belgium,BEL,2008,0.14852047
Belgium,BEL,2009,0.12796125
Belgium,BEL,2010,0.113241315
Belgium,BEL,2011,0.07577106
Belgium,BEL,2012,0.14291684
Belgium,BEL,2013,0.14754444
Belgium,BEL,2014,0.12162124
Belgium,BEL,2015,0.13042088
Belgium,BEL,2016,0.13960621
Belgium,BEL,2017,0.10038581
Belgium,BEL,2018,0.10827854
Belgium,BEL,2019,0.10780502
Belgium,BEL,2020,0.10556059
Belgium,BEL,2021,0.14816378
Belgium,BEL,2022,0.1208979
Brazil,BRA,1965,27.548725
Brazil,BRA,1966,27.618214
Brazil,BRA,1967,27.880291
Brazil,BRA,1968,25.555754
Brazil,BRA,1969,25.05622
Brazil,BRA,1970,25.959528
Brazil,BRA,1971,25.28348
Brazil,BRA,1972,25.973597
Brazil,BRA,1973,25.187544
Brazil,BRA,1974,25.64216
Brazil,BRA,1975,26.741674
Brazil,BRA,1976,28.014683
Brazil,BRA,1977,29.615337
Brazil,BRA,1978,29.43216
Brazil,BRA,1979,30.60272
Brazil,BRA,1980,33.05605
Brazil,BRA,1981,34.21749
Brazil,BRA,1982,35.12363
Brazil,BRA,1983,37.270332
Brazil,BRA,1984,38.49451
Brazil,BRA,1985,38.453815
Brazil,BRA,1986,37.28174
Brazil,BRA,1987,36.908936
Brazil,BRA,1988,38.406265
Brazil,BRA,1989,38.398285
Brazil,BRA,1990,39.031704
Brazil,BRA,1991,39.835537
Brazil,BRA,1992,40.28674
Brazil,BRA,1993,40.524914
Brazil,BRA,1994,39.896248
Brazil,BRA,1995,39.25123
Brazil,BRA,1996,38.79717
Brazil,BRA,1997,38.310345
Brazil,BRA,1998,38.663868
Brazil,BRA,1999,38.42771
Brazil,BRA,2000,38.192924
Brazil,BRA,2001,34.24804
Brazil,BRA,2002,35.532322
Brazil,BRA,2003,37.01313
Brazil,BRA,2004,36.814194
Brazil,BRA,2005,37.505043
Brazil,BRA,2006,37.489407
Brazil,BRA,2007,37.53081
Brazil,BRA,2008,35.331497
Brazil,BRA,2009,37.41251
Brazil,BRA,2010,35.144417
Brazil,BRA,2011,35.85249
Brazil,BRA,2012,33.57116
Brazil,BRA,2013,30.674585
Brazil,BRA,2014,28.382835
Brazil,BRA,2015,27.545898
Brazil,BRA,2016,29.71048
Brazil,BRA,2017,28.503946
Brazil,BRA,2018,29.606464
Brazil,BRA,2019,29.686031
Brazil,BRA,2020,30.668789
Brazil,BRA,2021,26.588255
Brazil,BRA,2022,29.894808
Bulgaria,BGR,1965,4.931371
Bulgaria,BGR,1966,4.6229753
Bulgaria,BGR,1967,4.0036206
Bulgaria,BGR,1968,2.3115647
Bulgaria,BGR,1969,2.9225402
Bulgaria,BGR,1970,3.0394952
Bulgaria,BGR,1971,2.9434657
Bulgaria,BGR,1972,2.7616532
Bulgaria,BGR,1973,3.2605417
Bulgaria,BGR,1974,2.5623977
Bulgaria,BGR,1975,2.7339408
Bulgaria,BGR,1976,3.1084793
Bulgaria,BGR,1977,3.5239036
Bulgaria,BGR,1978,2.805369
Bulgaria,BGR,1979,3.0763478
Bulgaria,BGR,1980,3.2677274
Bulgaria,BGR,1981,3.2318056
Bulgaria,BGR,1982,2.6594317
Bulgaria,BGR,1983,2.90392
Bulgaria,BGR,1984,2.839835
Bulgaria,BGR,1985,1.9635512
Bulgaria,BGR,1986,2.0015333
Bulgaria,BGR,1987,2.1663287
Bulgaria,BGR,1988,2.1662035
Bulgaria,BGR,1989,2.2651663
Bulgaria,BGR,1990,1.7079413
Bulgaria,BGR,1991,2.7433498
Bulgaria,BGR,1992,2.464117
Bulgaria,BGR,1993,2.174688
Bulgaria,BGR,1994,1.7086737
Bulgaria,BGR,1995,2.5057259
Bulgaria,BGR,1996,3.1733513
Bulgaria,BGR,1997,3.1661363
Bulgaria,BGR,1998,3.7024214
Bulgaria,BGR,1999,3.745924
Bulgaria,BGR,2000,3.6340146
Bulgaria,BGR,2001,2.2697885
Bulgaria,BGR,2002,2.9366899
Bulgaria,BGR,2003,3.8963988
Bulgaria,BGR,2004,4.187665
Bulgaria,BGR,2005,5.2576723
Bulgaria,BGR,2006,5.0083995
Bulgaria,BGR,2007,3.491326
Bulgaria,BGR,2008,3.4455686
Bulgaria,BGR,2009,4.7922907
Bulgaria,BGR,2010,6.635171
Bulgaria,BGR,2011,3.5806923
Bulgaria,BGR,2012,4.1400113
Bulgaria,BGR,2013,5.552601
Bulgaria,BGR,2014,5.8928123
Bulgaria,BGR,2015,6.7774153
Bulgaria,BGR,2016,4.8735967
Bulgaria,BGR,2017,3.449717
Bulgaria,BGR,2018,6.2227306
Bulgaria,BGR,2019,3.6502712
Bulgaria,BGR,2020,3.7912774
Bulgaria,BGR,2021,5.6844172
Bulgaria,BGR,2022,4.237919
CIS (EI),,1965,3.4813333
CIS (EI),,1966,3.6910224
CIS (EI),,1967,3.3877106
CIS (EI),,1968,3.8358662
CIS (EI),,1969,4.0670166
CIS (EI),,1970,4.17463
CIS (EI),,1971,4.0343986
CIS (EI),,1972,3.7400343
CIS (EI),,1973,3.5433114
CIS (EI),,1974,3.623434
CIS (EI),,1975,3.2949784
CIS (EI),,1976,3.4166834
CIS (EI),,1977,3.5416842
CIS (EI),,1978,3.918541
CIS (EI),,1979,3.8662984
CIS (EI),,1980,4.043397
CIS (EI),,1981,4.019434
CIS (EI),,1982,3.6683857
CIS (EI),,1983,3.7095654
CIS (EI),,1984,4.0228815
CIS (EI),,1985,4.789064
CIS (EI),,1986,4.7097397
CIS (EI),,1987,4.614114
CIS (EI),,1988,4.7027802
CIS (EI),,1989,4.5643034
CIS (EI),,1990,4.9000573
CIS (EI),,1991,4.991144
CIS (EI),,1992,5.340039
CIS (EI),,1993,5.944767
CIS (EI),,1994,6.626581
CIS (EI),,1995,6.8577385
CIS (EI),,1996,6.3976793
CIS (EI),,1997,6.74766
CIS (EI),,1998,6.7778006
CIS (EI),,1999,6.854643
CIS (EI),,2000,6.962505
CIS (EI),,2001,7.06903
