Entity,Code,Year,Wind energy capacity
Asia (IRENA),,2021,384.94471999999996
Asia (IRENA),,2022,425.67394
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076
Australia,AUS,2002,0.106
Australia,AUS,2003,0.19
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.8190000000000001
Australia,AUS,2007,1.249
Australia,AUS,2008,1.441
Australia,AUS,2009,1.703
Australia,AUS,2010,1.864
Australia,AUS,2011,2.1270000000000002
Australia,AUS,2012,2.561
Australia,AUS,2013,3.221
Australia,AUS,2014,3.797
Australia,AUS,2015,4.181
Australia,AUS,2016,4.324
Australia,AUS,2017,4.812
Australia,AUS,2018,5.442
Australia,AUS,2019,6.279
Australia,AUS,2020,8.603
Australia,AUS,2021,8.9506
Australia,AUS,2022,10.134
Austria,AUT,2000,0.05
Austria,AUT,2001,0.067
Austria,AUT,2002,0.109
Austria,AUT,2003,0.322
Austria,AUT,2004,0.581
Austria,AUT,2005,0.825219
Austria,AUT,2006,0.968269
Austria,AUT,2007,0.991159
Austria,AUT,2008,0.991974
Austria,AUT,2009,1.000985
Austria,AUT,2010,1.015828
Austria,AUT,2011,1.105966
Austria,AUT,2012,1.33715
Austria,AUT,2013,1.674538
Austria,AUT,2014,2.110275
Austria,AUT,2015,2.488726
Austria,AUT,2016,2.7299960000000003
Austria,AUT,2017,2.886698
Austria,AUT,2018,3.1327130000000003
Austria,AUT,2019,3.224117
Austria,AUT,2020,3.2259789999999997
Austria,AUT,2021,3.407811
Austria,AUT,2022,3.7358110000000004
Azerbaijan,AZE,2009,0.002
Azerbaijan,AZE,2010,0.002
Azerbaijan,AZE,2011,0.002
Azerbaijan,AZE,2012,0.002
Azerbaijan,AZE,2013,0.0027
Azerbaijan,AZE,2014,0.0027
Azerbaijan,AZE,2015,0.008
Azerbaijan,AZE,2016,0.0157
Azerbaijan,AZE,2017,0.0157
Azerbaijan,AZE,2018,0.066
Azerbaijan,AZE,2019,0.066
Azerbaijan,AZE,2020,0.066
Azerbaijan,AZE,2021,0.066
Azerbaijan,AZE,2022,0.066
Bahrain,BHR,2008,0.000675
Bahrain,BHR,2009,0.000675
Bahrain,BHR,2010,0.00068
Bahrain,BHR,2011,0.00068
Bahrain,BHR,2012,0.00068
Bahrain,BHR,2013,0.00068
Bahrain,BHR,2014,0.00068
Bahrain,BHR,2015,0.00068
Bahrain,BHR,2016,0.00068
Bahrain,BHR,2017,0.00068
Bahrain,BHR,2018,0.00068
Bahrain,BHR,2019,0.00068
Bahrain,BHR,2020,0.00068
Bahrain,BHR,2021,0.00068
Bahrain,BHR,2022,0.00074
Bangladesh,BGD,2006,0.0009000000000000001
Bangladesh,BGD,2007,0.0009000000000000001
Bangladesh,BGD,2008,0.0019
Bangladesh,BGD,2009,0.0019
Bangladesh,BGD,2010,0.0019
Bangladesh,BGD,2011,0.0019
Bangladesh,BGD,2012,0.0019
Bangladesh,BGD,2013,0.0019
Bangladesh,BGD,2014,0.0019
Bangladesh,BGD,2015,0.0029
Bangladesh,BGD,2016,0.0029
Bangladesh,BGD,2017,0.0029
Bangladesh,BGD,2018,0.0029
Bangladesh,BGD,2019,0.0029
Bangladesh,BGD,2020,0.0029
Bangladesh,BGD,2021,0.0029
Bangladesh,BGD,2022,0.0029
Barbados,BRB,2000,0.00004
Barbados,BRB,2001,0.00004
Barbados,BRB,2002,0.00004
Barbados,BRB,2003,0.00004
Barbados,BRB,2004,0.00004
Barbados,BRB,2005,0.00004
Barbados,BRB,2006,0.00004
Barbados,BRB,2007,0.00004
Barbados,BRB,2008,0.00004
Barbados,BRB,2009,0.00004
Barbados,BRB,2010,0.00004
Barbados,BRB,2011,0.00004
Barbados,BRB,2012,0.00004
Barbados,BRB,2013,0.00004
Barbados,BRB,2014,0.00004
Barbados,BRB,2015,0.00004
Barbados,BRB,2016,0.00006
Barbados,BRB,2017,0.00006
Barbados,BRB,2018,0.00006
Barbados,BRB,2019,0.00006
Barbados,BRB,2020,0.00006
Barbados,BRB,2021,0.00006
Barbados,BRB,2022,0.00116
Belarus,BLR,2000,0.00025
Belarus,BLR,2001,0.0006
Belarus,BLR,2002,0.0011
Belarus,BLR,2003,0.0011
Belarus,BLR,2004,0.0011
Belarus,BLR,2005,0.0011
Belarus,BLR,2006,0.0011
Belarus,BLR,2007,0.0019
Belarus,BLR,2008,0.0019
Belarus,BLR,2009,0.0019
Belarus,BLR,2010,0.0019
Belarus,BLR,2011,0.002
Belarus,BLR,2012,0.005
Belarus,BLR,2013,0.007
Belarus,BLR,2014,0.009000000000000001
Belarus,BLR,2015,0.022
Belarus,BLR,2016,0.062
Belarus,BLR,2017,0.084
Belarus,BLR,2018,0.092
Belarus,BLR,2019,0.112
Belarus,BLR,2020,0.112
Belarus,BLR,2021,0.11170000000000001
Belarus,BLR,2022,0.11170000000000001
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026000000000000002
Belgium,BEL,2002,0.031
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.167
Belgium,BEL,2006,0.212
Belgium,BEL,2007,0.276
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.608
Belgium,BEL,2010,0.912
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.3669000000000002
Belgium,BEL,2013,1.7690000000000001
Belgium,BEL,2014,1.9327
Belgium,BEL,2015,2.1813000000000002
Belgium,BEL,2016,2.3338
Belgium,BEL,2017,2.7794000000000003
Belgium,BEL,2018,3.3049
Belgium,BEL,2019,3.8635
Belgium,BEL,2020,4.6727
Belgium,BEL,2021,4.9483999999999995
Belgium,BEL,2022,5.251399999999999
Belize,BLZ,2000,0.00002
Belize,BLZ,2001,0.00002
Belize,BLZ,2002,0.00002
Belize,BLZ,2003,0.00002
Belize,BLZ,2004,0.00002
Belize,BLZ,2005,0.00002
Belize,BLZ,2006,0.00002
Belize,BLZ,2007,0.00002
Belize,BLZ,2008,0.00002
Belize,BLZ,2009,0.00002
Belize,BLZ,2010,0.00002
Belize,BLZ,2011,0.00002
Belize,BLZ,2012,0.00002
Belize,BLZ,2013,0.00002
Belize,BLZ,2014,0.00002
Belize,BLZ,2015,0.00002
Belize,BLZ,2016,0.00002
Belize,BLZ,2017,0.00002
Belize,BLZ,2018,0.00002
Belize,BLZ,2019,0.00002
Belize,BLZ,2020,0.00002
Belize,BLZ,2021,0.00002
Belize,BLZ,2022,0.00002
Bhutan,BTN,2015,0.0006
Bhutan,BTN,2016,0.0006
Bhutan,BTN,2017,0.0006
Bhutan,BTN,2018,0.0006
Bhutan,BTN,2019,0.0006
Bhutan,BTN,2020,0.0006
Bhutan,BTN,2021,0.0006
Bhutan,BTN,2022,0.0006
Bolivia,BOL,2010,0.0001
Bolivia,BOL,2011,0.0001
Bolivia,BOL,2012,0.0001
Bolivia,BOL,2013,0.0001
Bolivia,BOL,2014,0.00316
Bolivia,BOL,2015,0.00316
Bolivia,BOL,2016,0.027
Bolivia,BOL,2017,0.027
Bolivia,BOL,2018,0.027
Bolivia,BOL,2019,0.027
Bolivia,BOL,2020,0.027
Bolivia,BOL,2021,0.1278
Bolivia,BOL,2022,0.13140000000000002
Bonaire Sint Eustatius and Saba,BES,2007,0.00033
Bonaire Sint Eustatius and Saba,BES,2008,0.00033
Bonaire Sint Eustatius and Saba,BES,2009,0.010230000000000001
Bonaire Sint Eustatius and Saba,BES,2010,0.010230000000000001
Bonaire Sint Eustatius and Saba,BES,2011,0.010230000000000001
Bonaire Sint Eustatius and Saba,BES,2012,0.010230000000000001
Bonaire Sint Eustatius and Saba,BES,2013,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2014,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2015,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2016,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2017,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2018,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2019,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2020,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2021,0.011130000000000001
Bonaire Sint Eustatius and Saba,BES,2022,0.011130000000000001
Bosnia and Herzegovina,BIH,2011,0.0003
Bosnia and Herzegovina,BIH,2012,0.0003
Bosnia and Herzegovina,BIH,2013,0.0003
Bosnia and Herzegovina,BIH,2014,0.0003
Bosnia and Herzegovina,BIH,2015,0.0003
Bosnia and Herzegovina,BIH,2016,0.0003
Bosnia and Herzegovina,BIH,2017,0.0003
Bosnia and Herzegovina,BIH,2018,0.051000000000000004
Bosnia and Herzegovina,BIH,2019,0.08700000000000001
Bosnia and Herzegovina,BIH,2020,0.08700000000000001
Bosnia and Herzegovina,BIH,2021,0.135
Bosnia and Herzegovina,BIH,2022,0.135
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.23700000000000002
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1.426
Brazil,BRA,2012,1.8940000000000001
Brazil,BRA,2013,2.20202
Brazil,BRA,2014,4.888053
Brazil,BRA,2015,7.633115
Brazil,BRA,2016,10.129155
Brazil,BRA,2017,12.304272000000001
Brazil,BRA,2018,14.843093999999999
Brazil,BRA,2019,15.438379000000001
Brazil,BRA,2020,17.198324
Brazil,BRA,2021,21.161270000000002
Brazil,BRA,2022,24.163129
British Virgin Islands,VGB,2010,0.0005
British Virgin Islands,VGB,2011,0.0005
British Virgin Islands,VGB,2012,0.0005
British Virgin Islands,VGB,2013,0.0005
British Virgin Islands,VGB,2014,0.0005
British Virgin Islands,VGB,2015,0.0005
British Virgin Islands,VGB,2016,0.0005
British Virgin Islands,VGB,2017,0.0005
British Virgin Islands,VGB,2018,0.0005
British Virgin Islands,VGB,2019,0.0008010000000000001
British Virgin Islands,VGB,2020,0.0008010000000000001
British Virgin Islands,VGB,2021,0.0008010000000000001
British Virgin Islands,VGB,2022,0.0008010000000000001
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.03
Bulgaria,BGR,2008,0.114
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.488
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.677
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.6990000000000001
Bulgaria,BGR,2015,0.6990000000000001
Bulgaria,BGR,2016,0.6990000000000001
Bulgaria,BGR,2017,0.69839
Bulgaria,BGR,2018,0.69892
Bulgaria,BGR,2019,0.70312
Bulgaria,BGR,2020,0.7028
Bulgaria,BGR,2021,0.704375
Bulgaria,BGR,2022,0.704375
Cambodia,KHM,2009,0.00025
Cambodia,KHM,2010,0.00025
Cambodia,KHM,2011,0.00025
Cambodia,KHM,2012,0.00025
Cambodia,KHM,2013,0.00025
Cambodia,KHM,2014,0.00025
Cambodia,KHM,2015,0.00025
Cambodia,KHM,2016,0.00025
Cambodia,KHM,2017,0.00025
Cambodia,KHM,2018,0.00025
Cambodia,KHM,2019,0.00025
Cambodia,KHM,2020,0.00025
Cambodia,KHM,2021,0.00025
Cambodia,KHM,2022,0.00025
Canada,CAN,2000,0.092
Canada,CAN,2001,0.131
Canada,CAN,2002,0.161
Canada,CAN,2003,0.327
Canada,CAN,2004,0.444
Canada,CAN,2005,0.677
Canada,CAN,2006,1.423
Canada,CAN,2007,1.84
Canada,CAN,2008,2.336
Canada,CAN,2009,3.282
Canada,CAN,2010,3.967
Canada,CAN,2011,5.265
Canada,CAN,2012,6.2010000000000005
Canada,CAN,2013,7.801
Canada,CAN,2014,9.694
Canada,CAN,2015,11.214
Canada,CAN,2016,11.973
Canada,CAN,2017,12.25
Canada,CAN,2018,12.816
Canada,CAN,2019,13.413
Canada,CAN,2020,13.626959999999999
Canada,CAN,2021,14.30356
Canada,CAN,2022,15.29546
Cape Verde,CPV,2002,0.0021000000000000003
Cape Verde,CPV,2003,0.00268
Cape Verde,CPV,2004,0.0024
Cape Verde,CPV,2005,0.0024
Cape Verde,CPV,2006,0.0021000000000000003
Cape Verde,CPV,2007,0.0021000000000000003
Cape Verde,CPV,2008,0.0021000000000000003
Cape Verde,CPV,2009,0.0021000000000000003
Cape Verde,CPV,2010,0.0018000000000000002
Cape Verde,CPV,2011,0.017
Cape Verde,CPV,2012,0.0272
Cape Verde,CPV,2013,0.0272
Cape Verde,CPV,2014,0.0272
Cape Verde,CPV,2015,0.0272
Cape Verde,CPV,2016,0.0272
Cape Verde,CPV,2017,0.0272
Cape Verde,CPV,2018,0.027800000000000002
Cape Verde,CPV,2019,0.027800000000000002
Cape Verde,CPV,2020,0.027800000000000002
Cape Verde,CPV,2021,0.027800000000000002
Cape Verde,CPV,2022,0.027800000000000002
Central America and the Caribbean (IRENA),,2000,0.062310000000000004
Central America and the Caribbean (IRENA),,2001,0.08211
Central America and the Caribbean (IRENA),,2002,0.08541
Central America and the Caribbean (IRENA),,2003,0.09981000000000001
Central America and the Caribbean (IRENA),,2004,0.12161
Central America and the Caribbean (IRENA),,2005,0.12331
Central America and the Caribbean (IRENA),,2006,0.12521
Central America and the Caribbean (IRENA),,2007,0.12434
Central America and the Caribbean (IRENA),,2008,0.12953
Central America and the Caribbean (IRENA),,2009,0.25883
Central America and the Caribbean (IRENA),,2010,0.30446
Central America and the Caribbean (IRENA),,2011,0.457215
Central America and the Caribbean (IRENA),,2012,0.725915
Central America and the Caribbean (IRENA),,2013,0.7969120000000001
Central America and the Caribbean (IRENA),,2014,0.9202319999999999
Central America and the Caribbean (IRENA),,2015,1.281542
Central America and the Caribbean (IRENA),,2016,1.522662
Central America and the Caribbean (IRENA),,2017,1.602632
Central America and the Caribbean (IRENA),,2018,1.712126
Central America and the Caribbean (IRENA),,2019,1.9404770000000002
Central America and the Caribbean (IRENA),,2020,1.9648040000000002
Central America and the Caribbean (IRENA),,2021,1.9916040000000002
Central America and the Caribbean (IRENA),,2022,2.0361540000000002
Chad,TCD,2016,0.0011
Chad,TCD,2017,0.0011
Chad,TCD,2018,0.0011
Chad,TCD,2019,0.0011
Chad,TCD,2020,0.0011
Chad,TCD,2021,0.0011
Chad,TCD,2022,0.0011
Chile,CHL,2001,0.002
Chile,CHL,2002,0.002
Chile,CHL,2003,0.002
Chile,CHL,2004,0.002
Chile,CHL,2005,0.002
Chile,CHL,2006,0.002
Chile,CHL,2007,0.02
Chile,CHL,2008,0.02
Chile,CHL,2009,0.163
Chile,CHL,2010,0.163
Chile,CHL,2011,0.184
Chile,CHL,2012,0.202
Chile,CHL,2013,0.301
Chile,CHL,2014,0.736
Chile,CHL,2015,0.91
Chile,CHL,2016,1.039
Chile,CHL,2017,1.305
Chile,CHL,2018,1.524
Chile,CHL,2019,1.620074
Chile,CHL,2020,2.1489960000000004
Chile,CHL,2021,3.137006
Chile,CHL,2022,3.829679
China,CHN,2000,0.341
China,CHN,2001,0.383
China,CHN,2002,0.449
China,CHN,2003,0.547
China,CHN,2004,0.763
China,CHN,2005,1.06
China,CHN,2006,2.07
China,CHN,2007,4.2
China,CHN,2008,8.387728
China,CHN,2009,17.599408
China,CHN,2010,29.633479
China,CHN,2011,46.3546
China,CHN,2012,61.59687
China,CHN,2013,76.73053
China,CHN,2014,96.81913
China,CHN,2015,131.04773
China,CHN,2016,148.51689000000002
China,CHN,2017,164.37448
China,CHN,2018,184.66488
China,CHN,2019,209.5819
China,CHN,2020,282.11266
China,CHN,2021,328.97344
China,CHN,2022,365.9642
Colombia,COL,2004,0.02
Colombia,COL,2005,0.01
Colombia,COL,2006,0.018420000000000002
Colombia,COL,2007,0.018420000000000002
Colombia,COL,2008,0.018420000000000002
Colombia,COL,2009,0.018420000000000002
Colombia,COL,2010,0.018420000000000002
Colombia,COL,2011,0.018420000000000002
Colombia,COL,2012,0.018420000000000002
Colombia,COL,2013,0.018420000000000002
Colombia,COL,2014,0.018420000000000002
Colombia,COL,2015,0.018420000000000002
Colombia,COL,2016,0.018420000000000002
Colombia,COL,2017,0.018420000000000002
Colombia,COL,2018,0.018420000000000002
Colombia,COL,2019,0.018420000000000002
Colombia,COL,2020,0.018420000000000002
Colombia,COL,2021,0.018420000000000002
Colombia,COL,2022,0.018420000000000002
Cook Islands,COK,2003,0.00004
Cook Islands,COK,2004,0.00004
Cook Islands,COK,2005,0.00004
Cook Islands,COK,2006,0.00004
Cook Islands,COK,2007,0.00004
Cook Islands,COK,2008,0.00004
Cook Islands,COK,2009,0.00004
Cook Islands,COK,2010,0.00004
Cook Islands,COK,2011,0.00004
Cook Islands,COK,2012,0.00004
Cook Islands,COK,2013,0.00004
Cook Islands,COK,2014,0.00004
Cook Islands,COK,2015,0.00004
Cook Islands,COK,2016,0.00004
Cook Islands,COK,2017,0.00004
Cook Islands,COK,2018,0.00004
Cook Islands,COK,2019,0.00004
Cook Islands,COK,2020,0.00004
Cook Islands,COK,2021,0.00004
Cook Islands,COK,2022,0.00004
Costa Rica,CRI,2000,0.0425
Costa Rica,CRI,2001,0.0623
Costa Rica,CRI,2002,0.0623
Costa Rica,CRI,2003,0.0686
Costa Rica,CRI,2004,0.0686
Costa Rica,CRI,2005,0.0686
Costa Rica,CRI,2006,0.0686
Costa Rica,CRI,2007,0.066
Costa Rica,CRI,2008,0.066
Costa Rica,CRI,2009,0.1155
Costa Rica,CRI,2010,0.1155
Costa Rica,CRI,2011,0.12830000000000003
Costa Rica,CRI,2012,0.1436
Costa Rica,CRI,2013,0.1436
Costa Rica,CRI,2014,0.1931
Costa Rica,CRI,2015,0.2721
Costa Rica,CRI,2016,0.36510000000000004
Costa Rica,CRI,2017,0.37782
Costa Rica,CRI,2018,0.40776999999999997
Costa Rica,CRI,2019,0.41092
Costa Rica,CRI,2020,0.39352
Costa Rica,CRI,2021,0.39352
Costa Rica,CRI,2022,0.39022
Croatia,HRV,2004,0.006
Croatia,HRV,2005,0.006
Croatia,HRV,2006,0.017
Croatia,HRV,2007,0.017
Croatia,HRV,2008,0.017
Croatia,HRV,2009,0.07
Croatia,HRV,2010,0.079
Croatia,HRV,2011,0.13
Croatia,HRV,2012,0.18
Croatia,HRV,2013,0.254
Croatia,HRV,2014,0.339
Croatia,HRV,2015,0.418
Croatia,HRV,2016,0.483
Croatia,HRV,2017,0.5761000000000001
Croatia,HRV,2018,0.5862999999999999
Croatia,HRV,2019,0.6463
Croatia,HRV,2020,0.8013
Croatia,HRV,2021,0.9869
Croatia,HRV,2022,1.0429000000000002
Cuba,CUB,2000,0.00045000000000000004
Cuba,CUB,2001,0.00045000000000000004
Cuba,CUB,2002,0.00045000000000000004
Cuba,CUB,2003,0.00045000000000000004
Cuba,CUB,2004,0.00045000000000000004
Cuba,CUB,2005,0.00215
Cuba,CUB,2006,0.00215
Cuba,CUB,2007,0.00215
Cuba,CUB,2008,0.00725
Cuba,CUB,2009,0.00725
Cuba,CUB,2010,0.00725
Cuba,CUB,2011,0.01175
Cuba,CUB,2012,0.01175
Cuba,CUB,2013,0.01175
Cuba,CUB,2014,0.01175
Cuba,CUB,2015,0.01175
Cuba,CUB,2016,0.01175
Cuba,CUB,2017,0.01175
Cuba,CUB,2018,0.01175
Cuba,CUB,2019,0.01175
Cuba,CUB,2020,0.01175
Cuba,CUB,2021,0.01175
Cuba,CUB,2022,0.01175
Curacao,CUW,2000,0.012
Curacao,CUW,2001,0.012
Curacao,CUW,2002,0.012
Curacao,CUW,2003,0.012
Curacao,CUW,2004,0.012
Curacao,CUW,2005,0.012
Curacao,CUW,2006,0.012
Curacao,CUW,2007,0.012
Curacao,CUW,2008,0.012
Curacao,CUW,2009,0.012
Curacao,CUW,2010,0.012
Curacao,CUW,2011,0.012
Curacao,CUW,2012,0.03
Curacao,CUW,2013,0.03
Curacao,CUW,2014,0.03
Curacao,CUW,2015,0.03
Curacao,CUW,2016,0.03
Curacao,CUW,2017,0.04725
Curacao,CUW,2018,0.04725
Curacao,CUW,2019,0.04725
Curacao,CUW,2020,0.04725
Curacao,CUW,2021,0.04725
Curacao,CUW,2022,0.04725
Cyprus,CYP,2004,0.00022500000000000002
Cyprus,CYP,2005,0.00022500000000000002
Cyprus,CYP,2006,0.00022500000000000002
Cyprus,CYP,2007,0.00022500000000000002
Cyprus,CYP,2008,0.00022500000000000002
Cyprus,CYP,2009,0.00022500000000000002
Cyprus,CYP,2010,0.08222499999999999
Cyprus,CYP,2011,0.134225
Cyprus,CYP,2012,0.147225
Cyprus,CYP,2013,0.147225
Cyprus,CYP,2014,0.147225
Cyprus,CYP,2015,0.157725
Cyprus,CYP,2016,0.157725
Cyprus,CYP,2017,0.157725
Cyprus,CYP,2018,0.157725
Cyprus,CYP,2019,0.157725
Cyprus,CYP,2020,0.157725
Cyprus,CYP,2021,0.1575
Cyprus,CYP,2022,0.1575
Czechia,CZE,2000,0.002
Czechia,CZE,2001,0
Czechia,CZE,2002,0.0064
Czechia,CZE,2003,0.0106
Czechia,CZE,2004,0.0165
Czechia,CZE,2005,0.022
Czechia,CZE,2006,0.043500000000000004
Czechia,CZE,2007,0.1138
Czechia,CZE,2008,0.15
Czechia,CZE,2009,0.193
Czechia,CZE,2010,0.213
Czechia,CZE,2011,0.213
Czechia,CZE,2012,0.258
Czechia,CZE,2013,0.262
Czechia,CZE,2014,0.278
Czechia,CZE,2015,0.281
Czechia,CZE,2016,0.28200000000000003
Czechia,CZE,2017,0.308205
Czechia,CZE,2018,0.3162
Czechia,CZE,2019,0.339414
Czechia,CZE,2020,0.339424
Czechia,CZE,2021,0.339414
Czechia,CZE,2022,0.339414
Denmark,DNK,2000,2.390015
Denmark,DNK,2001,2.497153
Denmark,DNK,2002,2.894531
Denmark,DNK,2003,3.1199160000000004
Denmark,DNK,2004,3.1237120000000003
Denmark,DNK,2005,3.127836
Denmark,DNK,2006,3.135696
Denmark,DNK,2007,3.124214
